Department Prefix,Department,Sr no.,Type,Course Code,Course Name,Course Type,Course content category,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division Definition
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,45,timetable,SOM703,Sales and Distribution Management,Theory,Advanced Course.,I - Mayank Pareek,SecondHalf,10 Fri-10B-14:00:00-15:25:00- Tue-10A-14:00:00-15:25:00-,,,60,View Restrictions for Course SOM703 Course Code Batch Year Department Program Allowed Overridable SOM703 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM703 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM703 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,46,timetable,SOM705,Supply Chain Optimization,Theory,Advanced Course.,I - Rahul Jagannath Patil,FirstHalf,,,,60,View Restrictions for Course SOM705 Course Code Batch Year Department Program Allowed Overridable SOM705 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM705 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,47,timetable,SOM709,International Business,Theory,Advanced Course.,I - Snehal Awate,FirstHalf,10 Fri-10B-14:00:00-15:25:00- Tue-10A-14:00:00-15:25:00-,,,60,View Restrictions for Course SOM709 Course Code Batch Year Department Program Allowed Overridable SOM709 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM709 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM709 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,48,timetable,SOM726,Political Economy of Development in India,Theory,Advanced Course.,I - Ashish Singh,FullSemester,11 Fri-11B-15:30:00-16:55:00- Tue-11A-15:30:00-16:55:00-,,,60,View Restrictions for Course SOM726 Course Code Batch Year Department Program Allowed Overridable SOM726 ALL ALL Ph.D. Allowed Non-Overridable SOM726 ALL ALL B.S. Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.A. + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Phil. + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (MPP + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.S. by Research + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Sc. + M.Phil.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Sc.+ M.S. by Research) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Sc. + M.Tech.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Sc. + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Tech. + M.S. by Research) Allowed Non-Overridable SOM726 ALL ALL Dual Degree (M.Tech. + Ph.D.) Allowed Non-Overridable SOM726 ALL ALL M.A. Allowed Non-Overridable SOM726 ALL ALL M.A. by Research Allowed Non-Overridable SOM726 ALL ALL M.A. by Research (Exit degree) Allowed Non-Overridable SOM726 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM726 ALL ALL Master in Development Practice Allowed Non-Overridable SOM726 ALL ALL Master of Public Policy Allowed Non-Overridable SOM726 ALL ALL MBA Allowed Non-Overridable SOM726 ALL ALL M.Des. Allowed Non-Overridable SOM726 ALL ALL M.Des. by Research Allowed Non-Overridable SOM726 ALL ALL M.Phil. Allowed Non-Overridable SOM726 ALL ALL M.Phil. (Exit Degree) Allowed Non-Overridable SOM726 ALL ALL M.S. by Research Allowed Non-Overridable SOM726 ALL ALL M.S. by Research (Exit degree) Allowed Non-Overridable SOM726 ALL ALL M.Sc. Allowed Non-Overridable SOM726 ALL ALL M.Sc. (Exit Degree) Allowed Non-Overridable SOM726 ALL ALL M.S. (Exit Degree) Allowed Non-Overridable SOM726 ALL ALL M.Tech. Allowed Non-Overridable SOM726 ALL ALL M.Tech. (Exit Degree) Allowed Non-Overridable SOM726 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,49,timetable,SOM727,Applied Quality Engineering and Management,Theory,Advanced Course.,I - Indrajit Narayan Mukherjee,FullSemester,6 Fri-6B-09:30:00-10:55:00- Wed-6A-09:30:00-10:55:00-,,,60,View Restrictions for Course SOM727 Course Code Batch Year Department Program Allowed Overridable SOM727 ALL ALL Ph.D. Allowed Non-Overridable SOM727 ALL ALL M.A. Allowed Non-Overridable SOM727 ALL ALL M.A. by Research Allowed Non-Overridable SOM727 ALL ALL M.A. by Research (Exit degree) Allowed Non-Overridable SOM727 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM727 ALL ALL Master in Development Practice Allowed Non-Overridable SOM727 ALL ALL Master of Public Policy Allowed Non-Overridable SOM727 ALL ALL M.Des. Allowed Non-Overridable SOM727 ALL ALL M.Des. by Research Allowed Non-Overridable SOM727 ALL ALL M.Phil. Allowed Non-Overridable SOM727 ALL ALL M.Phil. (Exit Degree) Allowed Non-Overridable SOM727 ALL ALL M.S. by Research Allowed Non-Overridable SOM727 ALL ALL M.S. by Research (Exit degree) Allowed Non-Overridable SOM727 ALL ALL M.Sc. Allowed Non-Overridable SOM727 ALL ALL M.Sc. (Exit Degree) Allowed Non-Overridable SOM727 ALL ALL M.S. (Exit Degree) Allowed Non-Overridable SOM727 ALL ALL M.Tech. Allowed Non-Overridable SOM727 ALL ALL M.Tech. (Exit Degree) Allowed Non-Overridable SOM727 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,50,timetable,SOM738,Data Science for Management,Theory,Advanced Course.,I - Rajendra Madhukar Sonar,FirstHalf,,,,60,View Restrictions for Course SOM738 Course Code Batch Year Department Program Allowed Overridable SOM738 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM738 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM738 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,51,timetable,SOM739,Applications of AI in Marketing,Theory,Advanced Course.,I - Bithindra  Biswas,SecondHalf,9 Mon-9A-15:30:00-16:55:00- Thu-9B-15:30:00-16:55:00-,,,60,View Restrictions for Course SOM739 Course Code Batch Year Department Program Allowed Overridable SOM739 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM739 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM739 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,52,timetable,SOM740,Social Media Management,Theory,Advanced Course.,I - Srinwanti Hazra  Chaudhury,SecondHalf,,,,60,View Restrictions for Course SOM740 Course Code Batch Year Department Program Allowed Overridable SOM740 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM740 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM740 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,53,timetable,SOM741,Financial Statement Analysis,Theory,Advanced Course.,I - Ved Dilip Beloskar,SecondHalf,8 Mon-8A-14:00:00-15:25:00- Thu-8B-14:00:00-15:25:00-,,,60,View Restrictions for Course SOM741 Course Code Batch Year Department Program Allowed Overridable SOM741 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM741 ALL ALL ALL Deny Non-Overridable,
"MG,MGT,MNG,SOM,IWE,MGS",Shailesh J. Mehta School of Management,54,timetable,SOM749,"Consumer Psychology, Behaviour, and Neuroscience",Theory,Advanced Course.,I - Arti Deepak Kalro,FullSemester,,,,60,View Restrictions for Course SOM749 Course Code Batch Year Department Program Allowed Overridable SOM749 ALL ALL Ph.D. Allowed Non-Overridable SOM749 ALL Shailesh J. Mehta School of Management MBA Allowed Non-Overridable SOM749 ALL Shailesh J. Mehta School of Management Ph.D. Allowed Non-Overridable SOM749 ALL ALL Dual Degree (B.Des. + M.Des.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (B.Tech. + M.Tech.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.A. + Ph.D.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.Phil. + Ph.D.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.S. by Research + Ph.D.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.Sc. + M.Phil.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.Sc.+ M.S. by Research) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.Sc. + M.Tech.) Allowed Non-Overridable SOM749 ALL ALL Dual Degree (M.Tech. + Ph.D.) Allowed Non-Overridable SOM749 ALL ALL IDDDP Allowed Non-Overridable SOM749 ALL ALL Integrated M.Sc. (5-Year) Allowed Non-Overridable SOM749 ALL ALL M.A. Allowed Non-Overridable SOM749 ALL ALL M.A. by Research Allowed Non-Overridable SOM749 ALL ALL M.A. by Research (Exit degree) Allowed Non-Overridable SOM749 ALL ALL M.A. (Exit degree) Allowed Non-Overridable SOM749 ALL ALL Master in Development Practice Allowed Non-Overridable SOM749 ALL ALL M.Tech. Allowed Non-Overridable SOM749 ALL ALL M.Tech. (Exit Degree) Allowed Non-Overridable SOM749 ALL ALL P.G.D.I.I.T (Exit Degree) Allowed Non-Overridable SOM749 ALL ALL ALL Deny Non-Overridable,
