CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 656,Aviation Fuels and their Combustion,6,prerequiste,,All Department,"- B. A. (3-year)
- Bachelor of Design (3-year)
- B.Des.
- B.S.
- B.Sc. (3-year)
- B.S.+ M.Sc. Dual Degree
- B.Tech.
- Dual Degree (B.Des. + M.Des.)
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.A. + Ph.D.)
- Dual Degree (M.Phil. + Ph.D.)
- Dual Degree (MPP + Ph.D.)
- Dual Degree (M.S. by Research + Ph.D.)
- Dual Degree (M.Sc. + M.Phil.)
- Dual Degree (M.Sc.+ M.S. by Research)
- Dual Degree (M.Sc. + M.Tech.)
- Dual Degree (M.Sc. + Ph.D.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- EMBA
- IDDDP
- Integrated M.Sc. (5-Year)
- M.A.
- M.A. by Research
- M.A. by Research (Exit degree)
- M.A. (Exit degree)
- Master in Development Practice
- Master of Public Policy
- MBA
- M.Des.
- M.Des. by Research
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. by Research
- M.S. by Research (Exit degree)
- M.Sc.
- M.Sc. (Exit Degree)
- M.S. (Exit Degree)
- M.Tech.
- M.Tech. (Exit Degree)
- M-UDE
- P.G.D.I.I.T (Exit Degree)
- Ph.D.
- Postgraduate Diploma(PGD-Exit)
- Preparatory Course
- Visiting Students
",Required,,
AE 660,Interfacial Phenomena in Liquid Atomization,6,equivalent,ME6118,All Department,"- M.Tech.
",Not Required,,
AE 662,Applied Optimal Control,6,equivalent,EE 622 OR SC 604,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 664,Lighter-Than-Air Systems,6,equivalent,AE 488,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- M.Tech.
- Ph.D.
",Not Required,,
AE 665,Aircraft Stealth Technology,6,prerequiste,AE 332 OR AE 714,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 678,Aeroelasticity,6,prerequiste,AE 227 OR ME 201 OR MM 203,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Required,,
AE 683,Fluid Dynamics,6,equivalent,ME 651,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 688,Navigation of Autonomous Vehicles,6,prerequiste,,All Department,"- B.Tech.
- DDDP
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- M.Tech.
- Ph.D.
",Required,,
AE 690,Control System Design Techniques,6,prerequiste,( AE 308 OR AE 775 ) AND AE 695,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 695,State Space Methods for Flight Vehicles,6,prerequiste,MA 106 OR MA 110,All Department,"- B.Tech.
- DDDP
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + Ph.D.)
- Ph.D.
",Required,,
